"","섹터","종목코드","종목명"
"255","산업재","006360","GS건설"
"256","산업재","012750","에스원"
"257","산업재","086280","현대글로비스"
"258","산업재","047810","한국항공우주"
"259","산업재","017800","현대엘리베이"
"260","산업재","003490","대한항공"
"261","산업재","002380","KCC"
"262","산업재","001040","CJ"
"263","산업재","241560","두산밥캣"
"264","산업재","000120","CJ대한통운"
"265","산업재","010620","현대미포조선"
"266","산업재","064350","현대로템"
"267","산업재","294870","HDC현대산업개발"
"268","산업재","180640","한진칼"
"269","산업재","042660","대우조선해양"
"270","산업재","012450","한화에어로스페이스"
"271","산업재","028670","팬오션"
"272","산업재","047040","대우건설"
"273","산업재","042670","두산인프라코어"
"274","산업재","011200","현대상선"
"275","산업재","006260","LS"
"276","산업재","047050","포스코대우"
"277","산업재","010120","LS산전"
"278","산업재","001740","SK네트웍스"
"279","산업재","034020","두산중공업"
"280","산업재","003410","쌍용양회"
"281","산업재","009240","한샘"
"282","산업재","000150","두산"
"283","산업재","012630","HDC"
"284","산업재","056190","에스에프에이"
"285","산업재","020560","아시아나항공"
"286","산업재","267270","현대건설기계"
"287","산업재","009410","태영건설"
"288","산업재","001120","LG상사"
"289","산업재","010780","아이에스동서"
"290","산업재","002320","한진"
"291","산업재","079550","LIG넥스원"
"292","산업재","108670","LG하우시스"
"293","산업재","089590","제주항공"
"294","산업재","010170","대한광통신"
"295","산업재","023410","유진기업"
"296","산업재","001520","동양"
"297","산업재","011760","현대상사"
"298","산업재","005880","대한해운"
"299","산업재","267260","현대일렉트릭"
"300","산업재","079430","현대리바트"
"301","산업재","272450","진에어"
"302","산업재","298040","효성중공업"
"303","산업재","300720","한일시멘트"
"304","산업재","006730","서부T&D"
"305","산업재","002990","금호산업"
"306","산업재","004980","성신양회"
"307","산업재","017960","한국카본"
"308","산업재","014620","성광벤드"
"309","산업재","019210","와이지-원"
"310","산업재","112610","씨에스윈드"
"311","산업재","298690","에어부산"
"312","산업재","011370","서한"
"313","산업재","060150","인선이엔티"
"314","산업재","095190","이엠코리아"
"315","산업재","023160","태광"
"316","산업재","002150","도화엔지니어링"
"317","산업재","038500","삼표시멘트"
"318","산업재","090360","로보스타"
"319","산업재","029960","코엔텍"
"320","산업재","008350","남선알미늄"
"321","산업재","068400","AJ렌터카"
"322","산업재","183190","아세아시멘트"
"323","산업재","013120","동원개발"
"324","산업재","007460","에이프로젠 KIC"
"325","산업재","074610","나노메딕스"
"326","산업재","035890","서희건설"
"327","산업재","122900","아이마켓코리아"
"328","산업재","013030","하이록코리아"
"329","산업재","024810","이화전기"
"330","산업재","002780","진흥기업"
