"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"128",2018-12-28,"023890","아트라스BX","-",52000,"11,180","4.65","28,757","1.81",400,0.77,128,NA
"129",2018-12-28,"023900","풍국주정","-",19200,"1,124","17.08","9,439","2.03",270,1.41,129,NA
"130",2018-12-28,"023910","대한약품","-",38350,"4,139","9.27","19,313","1.99",300,0.78,130,NA
"131",2018-12-28,"024060","흥구석유","-",2705,"142","19.05","4,650","0.58",100,3.7,131,NA
"132",2018-12-28,"024120","KB오토시스","-",5410,"1,068","5.07","7,398","0.73",250,4.62,132,NA
"133",2018-12-28,"024740","한일단조","-",1395,"-","-","4,110","0.34",0,0,133,NA
"134",2018-12-28,"024800","유성티엔에스","-",2550,"547","4.66","7,106","0.36",15,0.59,134,NA
"135",2018-12-28,"024810","이화전기","-",266,"17","15.65","283","0.94",0,0,135,NA
"136",2018-12-28,"024830","세원물산","-",5160,"776","6.65","22,298","0.23",75,1.45,136,NA
"137",2018-12-28,"024840","갑을메탈","-",2100,"204","10.29","2,459","0.85",0,0,137,NA
"138",2018-12-28,"024850","피에스엠씨","-",858,"15","57.2","508","1.69",0,0,138,NA
"139",2018-12-28,"024880","케이피에프","-",4175,"912","4.58","9,304","0.45",150,3.59,139,NA
"140",2018-12-28,"024910","경창산업","-",1380,"-","-","5,879","0.23",20,1.45,140,NA
"141",2018-12-28,"024940","PN풍년","-",2245,"153","14.67","3,215","0.7",25,1.11,141,NA
"142",2018-12-28,"024950","삼천리자전거","-",6420,"306","20.98","7,731","0.83",100,1.56,142,NA
"143",2018-12-28,"025320","시노펙스","-",2840,"-","-","835","3.4",0,0,143,NA
"144",2018-12-28,"025440","대성엘텍","-",847,"-","-","471","1.8",0,0,144,NA
"145",2018-12-28,"025550","한국선재","-",2750,"165","16.67","3,403","0.81",100,3.64,145,NA
"146",2018-12-28,"025770","한국정보통신","-",9340,"645","14.48","4,313","2.17",0,0,146,NA
"147",2018-12-28,"025870","신라에스지","-",4745,"59","80.42","3,985","1.19",0,0,147,NA
"148",2018-12-28,"025880","케이씨피드","-",2235,"428","5.22","3,492","0.64",35,1.57,148,NA
"149",2018-12-28,"025900","동화기업","-",20450,"2,110","9.69","23,896","0.86",350,1.71,149,NA
"150",2018-12-28,"025950","동신건설","-",5760,"1,273","4.52","10,373","0.56",100,1.74,150,NA
"151",2018-12-28,"025980","아난티","-",18750,"32","585.94","4,017","4.67",0,0,151,NA
"152",2018-12-28,"026040","제이에스티나","-",5180,"-","-","4,364","1.19",50,0.97,152,NA
"153",2018-12-28,"026150","특수건설","-",5530,"39","141.79","5,740","0.96",0,0,153,NA
"154",2018-12-28,"026180","현대정보기술","-",1770,"17","104.12","843","2.1",0,0,154,NA
"155",2018-12-28,"026910","광진실업","-",3590,"85","42.24","4,524","0.79",0,0,155,NA
"156",2018-12-28,"027040","서울전자통신","-",1165,"-","-","580","2.01",0,0,156,NA
"157",2018-12-28,"027050","코리아나","-",4270,"58","73.62","1,946","2.19",50,1.17,157,NA
"158",2018-12-28,"027360","아주IB투자","-",1100,"121","9.09","1,216","0.9",25,2.27,158,NA
"159",2018-12-28,"027580","상보","-",1740,"-","-","1,760","0.99",0,0,159,NA
"160",2018-12-28,"027710","팜스토리","-",1025,"220","4.66","1,809","0.57",0,0,160,NA
"161",2018-12-28,"027830","대성창투","-",1685,"13","129.62","1,197","1.41",0,0,161,NA
"162",2018-12-28,"028040","미래SCI","-",1345,"-","-","881","1.53",0,0,162,NA
"163",2018-12-28,"028080","휴맥스홀딩스","-",2900,"-","-","13,118","0.22",0,0,163,NA
"164",2018-12-28,"028150","GS홈쇼핑","-",179600,"16,677","10.77","162,004","1.11",6500,3.62,164,NA
"165",2018-12-28,"028300","에이치엘비","-",79900,"-","-","2,123","37.64",0,0,165,NA
"166",2018-12-28,"029480","바른테크놀로지","-",469,"-","-","425","1.1",0,0,166,NA
"167",2018-12-28,"029960","코엔텍","-",7640,"323","23.65","2,511","3.04",25,0.33,167,NA
"168",2018-12-28,"030190","NICE평가정보","-",10950,"512","21.39","2,825","3.88",140,1.28,168,NA
"169",2018-12-28,"030270","에스마크","관리종목",76,"-","-","351","0.22",0,0,169,NA
"170",2018-12-28,"030350","드래곤플라이","-",3485,"-","-","1,449","2.41",0,0,170,NA
"171",2018-12-28,"030520","한글과컴퓨터","-",13000,"921","14.12","8,018","1.62",300,2.31,171,NA
"172",2018-12-28,"030530","원익홀딩스","-",3510,"961","3.65","8,676","0.4",0,0,172,NA
"173",2018-12-28,"030960","양지사","-",8740,"190","46","4,179","2.09",50,0.57,173,NA
"174",2018-12-28,"031310","아이즈비전","-",4640,"377","12.31","4,770","0.97",75,1.62,174,NA
"175",2018-12-28,"031330","에스에이엠티","-",1650,"297","5.56","1,925","0.86",110,6.67,175,NA
"176",2018-12-28,"031390","녹십자셀","-",50500,"61","827.87","4,118","12.26",50,0.1,176,NA
"177",2018-12-28,"031510","오스템","-",3800,"21","180.95","4,934","0.77",30,0.79,177,NA
"178",2018-12-28,"031860","엔에스엔","-",1565,"-","-","992","1.58",0,0,178,NA
"179",2018-12-28,"031980","피에스케이","-",12300,"1,940","6.34","11,230","1.1",400,3.25,179,NA
"180",2018-12-28,"032080","아즈텍WB","-",1760,"-","-","4,193","0.42",0,0,180,NA
"181",2018-12-28,"032190","다우데이타","-",9450,"935","10.11","12,347","0.77",130,1.38,181,NA
"182",2018-12-28,"032280","삼일","-",1980,"127","15.59","3,746","0.53",50,2.53,182,NA
"183",2018-12-28,"032500","케이엠더블유","-",22050,"-","-","3,080","7.16",0,0,183,NA
"184",2018-12-28,"032540","TJ미디어","-",3425,"120","28.54","5,814","0.59",80,2.34,184,NA
"185",2018-12-28,"032580","피델릭스","-",1740,"24","72.5","1,184","1.47",0,0,185,NA
"186",2018-12-28,"032620","유비케어","-",4400,"90","48.89","1,155","3.81",30,0.68,186,NA
"187",2018-12-28,"032680","소프트센","-",1245,"-","-","1,106","1.13",0,0,187,NA
"188",2018-12-28,"032685","소프트센우","-",20300,"-","-","-","-",0,0,188,NA
"189",2018-12-28,"032750","삼진","-",7220,"461","15.66","10,543","0.68",150,2.08,189,NA
"190",2018-12-28,"032790","엠젠플러스","-",6170,"-","-","1,580","3.91",0,0,190,NA
"191",2018-12-28,"032800","판타지오","-",507,"-","-","654","0.78",0,0,191,NA
"192",2018-12-28,"032820","우리기술","-",1115,"41","27.2","450","2.48",0,0,192,NA
"193",2018-12-28,"032850","비트컴퓨터","-",5060,"218","23.21","2,550","1.98",0,0,193,NA
"194",2018-12-28,"032860","GMR 머티리얼즈","-",629,"4","157.25","404","1.56",0,0,194,NA
"195",2018-12-28,"032940","원익","-",4230,"1,024","4.13","10,050","0.42",0,0,195,NA
"196",2018-12-28,"032960","동일기연","-",12900,"1,783","7.23","10,128","1.27",35,0.27,196,NA
"197",2018-12-28,"032980","바이온","-",1650,"-","-","990","1.67",0,0,197,NA
"198",2018-12-28,"033050","제이엠아이","-",1060,"16","66.25","1,406","0.75",0,0,198,NA
"199",2018-12-28,"033100","제룡전기","-",8330,"-","-","3,060","2.72",50,0.6,199,NA
"200",2018-12-28,"033110","이디","관리종목",437,"-","-","377","1.16",0,0,200,NA
"201",2018-12-28,"033130","디지틀조선","-",1925,"142","13.56","1,866","1.03",40,2.08,201,NA
"202",2018-12-28,"033160","엠케이전자","-",8410,"2,168","3.88","13,738","0.61",140,1.66,202,NA
"203",2018-12-28,"033170","시그네틱스","-",867,"19","45.63","1,956","0.44",0,0,203,NA
"204",2018-12-28,"033200","모아텍","-",4510,"114","39.56","5,148","0.88",0,0,204,NA
"205",2018-12-28,"033230","인성정보","-",3000,"-","-","2,231","1.34",0,0,205,NA
"206",2018-12-28,"033290","코웰패션","-",4755,"481","9.89","1,840","2.58",30,0.63,206,NA
"207",2018-12-28,"033310","디케이디앤아이","-",1995,"186","10.73","2,208","0.9",0,0,207,NA
"208",2018-12-28,"033320","제이씨현시스템","-",4855,"675","7.19","4,070","1.19",100,2.06,208,NA
"209",2018-12-28,"033340","좋은사람들","-",4510,"-","-","2,693","1.67",0,0,209,NA
"210",2018-12-28,"033430","디에스티","-",991,"36","27.53","349","2.84",0,0,210,NA
"211",2018-12-28,"033500","동성화인텍","-",7720,"-","-","3,199","2.41",0,0,211,NA
"212",2018-12-28,"033540","파라텍","-",5500,"740","7.43","5,040","1.09",50,0.91,212,NA
"213",2018-12-28,"033560","블루콤","-",4160,"169","24.62","9,134","0.46",50,1.2,213,NA
"214",2018-12-28,"033600","에이코넬","-",1770,"-","-","1,460","1.21",0,0,214,NA
"215",2018-12-28,"033640","네패스","-",9810,"310","31.65","5,943","1.65",100,1.02,215,NA
"216",2018-12-28,"033790","스카이문스테크놀로지","-",2365,"-","-","2,302","1.03",0,0,216,NA
"217",2018-12-28,"033830","티비씨","-",575,"32","17.97","1,043","0.55",10,1.74,217,NA
"218",2018-12-28,"034230","파라다이스","-",18850,"-","-","10,932","1.72",100,0.53,218,NA
"219",2018-12-28,"034810","해성산업","-",10450,"348","30.03","14,632","0.71",125,1.2,219,NA
"220",2018-12-28,"034940","조아제약","-",4365,"57","76.58","1,914","2.28",0,0,220,NA
"221",2018-12-28,"034950","한국기업평가","-",51800,"3,462","14.96","19,356","2.68",2250,4.34,221,NA
"222",2018-12-28,"035080","인터파크홀딩스","-",2350,"-","-","5,403","0.43",50,2.13,222,NA
"223",2018-12-28,"035200","프럼파스트","-",3385,"455","7.44","3,557","0.95",100,2.95,223,NA
"224",2018-12-28,"035290","더블유에프엠","-",3170,"-","-","602","5.27",0,0,224,NA
"225",2018-12-28,"035460","기산텔레콤","-",2755,"-","-","2,225","1.24",0,0,225,NA
"226",2018-12-28,"035480","마제스타","-",1475,"-","-","829","1.78",0,0,226,NA
"227",2018-12-28,"035600","KG이니시스","-",15400,"-","-","6,705","2.3",250,1.62,227,NA
"228",2018-12-28,"035610","솔본","-",4470,"-","-","4,663","0.96",0,0,228,NA
"229",2018-12-28,"035620","바른손이앤에이","-",1225,"-","-","292","4.2",0,0,229,NA
"230",2018-12-28,"035760","CJ ENM","-",201900,"21,705","9.3","165,443","1.22",3000,1.49,230,NA
"231",2018-12-28,"035810","이지바이오","-",6060,"544","11.14","6,154","0.98",50,0.83,231,NA
"232",2018-12-28,"035890","서희건설","-",1190,"191","6.23","1,465","0.81",15,1.26,232,NA
"233",2018-12-28,"035900","JYP Ent.","-",30250,"512","59.08","2,452","12.34",0,0,233,NA
"234",2018-12-28,"036000","예림당","-",5400,"851","6.35","4,706","1.15",0,0,234,NA
"235",2018-12-28,"036010","아비코전자","-",5600,"577","9.71","6,635","0.84",200,3.57,235,NA
"236",2018-12-28,"036030","KTH","-",4820,"90","53.56","5,748","0.84",0,0,236,NA
"237",2018-12-28,"036090","위지트","-",1080,"65","16.62","833","1.3",0,0,237,NA
