"","PER","PBR","PCR","PSR","DY"
"009240",21.6688826110532,4.09386493774626,31.3904205800604,1.00753737813333,0.0136
"039490",NA,NA,NA,NA,NA
"010620",4.42946990116801,0.843059296310547,-2.90298837038127,0.803782505910166,NA
"042670",6.6040239146325,0.617280188163368,2.94239671485654,0.298231320982354,NA
"018250",50.3034196456693,16.2696119567063,-290.3879225,3.04748018524408,0.0048
"003240",10.2206640625,0.576991147654601,5.28278915488895,0.62814424857672,0.0012
"120110",14.8665821491443,0.785450236694799,6.59482874078091,0.395947390861732,0.0162
"011790",12.9291809042553,1.10582790992093,8.41971981485905,0.664121860655738,0.0192
"012510",43.1204261083744,9.4376781671159,34.9438982035928,8.51502577821011,0.0068
"034020",-15.8579934981768,0.264947971603284,4.05222894654088,0.119778972620425,NA
"111770",18.3656295564942,1.29725152457671,10.9316475109994,0.865587577265714,0.0076
"139130",NA,NA,NA,NA,NA
"138040",NA,NA,NA,NA,NA
"161890",34.8534919423868,5.0928433806374,313.681427481481,2.0616841630964,0.004
"009420",289.124910310345,15.0802561133094,39.8319353871734,19.9159676935867,NA
"071840",11.2311621778976,0.822738901767203,6.62178969884783,0.406582701241675,0.0262
"000240",9.27603401145251,0.554190476970061,13.5102529540277,2.01310631431862,0.0168
"051600",11.9448529411765,1.79482930062976,12.2326807228916,1.3134702457956,0.0407
"204320",87.4993328961749,1.13378021100333,5.78272947634525,0.281674985839182,0.0059
"192820",100.49509,6.81993824430823,-236.011196212121,1.7620745418552,0.0019
"031430",64.4377593360996,3.12968561064087,149.322115384615,1.40857142857143,0.0028
"073240",-13.8748260268336,1.56466163990317,21.7560385666199,0.539287147058824,NA
"114090",19.0945763913043,2.88876789983086,19.6060382589286,3.06625453720327,0.0294
"004370",16.6317002866593,0.81934453098691,14.5889285880077,0.683102484263913,0.0161
"011200",-1.22219079291167,1.66002098776341,-5.40621940423021,0.296116313429793,NA
"003520",773.925030126316,12.294795629097,459.5179866375,7.54080798584615,NA
"005250",20.7536089391796,1.01915687434882,10.1541879031142,1.0012147062436,0.0096
"007700",19.1626168224299,4.84891891891892,21.5507507507508,2.5607136485281,0.007
"004000",16.0816143497758,1.20271652553031,7.5978813559322,1.23715394566624,0.0144
"012450",-29.0202096436059,0.634692342961944,-142.707628865979,0.328374807258925,NA
"005440",11.3385448246914,0.674186745717921,12.9476804154135,0.543659509155485,0.0057
"057050",11.1673469387755,0.885780885780886,49.0322580645161,1.31147540983607,0.0149
"000670",5.00591112743298,0.392883585531056,7.41626550598477,0.365945287121802,0.0135
