"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","market"
"2058","003100","선광","17,600","150","-0.85%","1,000","1,162","6,600",2.7,"6,659","19.62","1.97","코스닥"
"2059","077360","덕산하이메탈","5,100","60","-1.16%","200","1,159","22,719",1.58,"18,298","14.29","4.62","코스닥"
"2060","289080","SV인베스트먼트","4,335","205","+4.96%","500","1,154","26,617",0,"2,082,293","15.94","29.13","코스닥"
"2061","058400","KNN","870","0","0.00%","500","1,152","132,430",0,"23,977","14.75","4.16","코스닥"
"2062","044480","바이오제네틱스","9,960","240","-2.35%","500","1,151","11,560",0.41,"32,913","-60.36","-6.54","코스닥"
"2063","043090","팜스웰바이오","4,240","30","-0.70%","500","1,150","27,126",0.32,"127,662","302.86","2.56","코스닥"
"2064","093320","케이아이엔엑스","23,550","450","-1.87%","500","1,149","4,880",11.35,"19,440","17.79","11.75","코스닥"
"2065","267790","배럴","14,800","200","+1.37%","500","1,149","7,761",0.95,"152,973","22.22","37.74","코스닥"
"2067","091970","나노캠텍","5,370","170","-3.07%","500","1,139","21,202",28.56,"271,651","-13.19","-13.76","코스닥"
"2068","041440","에버다임","6,340","90","-1.40%","500","1,136","17,916",2.33,"79,967","6.46","10.03","코스닥"
"2069","047770","코데즈컴바인","3,000","80","-2.60%","500","1,135","37,843",0.85,"56,635","53.57","7.96","코스닥"
"2070","032820","우리기술","1,325","15","+1.15%","500","1,132","85,400",1.79,"3,318,127","32.32","9.53","코스닥"
"2071","034810","해성산업","11,550","50","+0.43%","500","1,130","9,780",0.76,"4,921","33.19","2.39","코스닥"
"2072","140070","서플러스글로벌","3,050","10","+0.33%","100","1,128","36,988",1.33,"39,177","5.64","24.19","코스닥"
"2073","061040","알에프텍","5,820","100","-1.69%","500","1,123","19,288",2.63,"88,521","29.69","3.19","코스닥"
"2074","050110","캠시스","1,940","15","-0.77%","500","1,122","57,820",1.33,"183,619","-3.15","-44.98","코스닥"
