"","US","EUROPE","JAPAN","EM","LONG_BOND","INT_BOND","US.REIT","GLOBAL.REIT","GOLD","COMMODITY"
"1993-04-11",0,0,0,0,0,0,0,0,0,0
"1993-04-12",0.014113524,0.00877193,0.00215119,0.002760193,0.004524887,0.003246753,0.007894737,0,0,0.007006013
"1993-04-13",0.002089373,0.017391304,0.037647301,0.002124286,0.004504505,0,0,0,-0.00237037,0.000595533
"1993-04-14",-0.001388809,-0.002136752,-0.011804601,0.008837404,0.004484305,0,0,0,0.004603505,-0.001331108
"1993-04-15",0,-0.006423983,0.011653273,-2.96e-05,0,0.003236246,0.002610966,0,0.001921656,-0.00655166
"1993-04-16",0,-0.015086207,-0.010588346,0.001657344,-0.004464286,-0.003225806,0,0,-0.003098259,-0.006878605
"1993-04-17",0,0,0,0,0,0,0,0,0,0
"1993-04-18",0,0,0,0,0,0,0,0,0,0
"1993-04-19",-0.004172221,0.010940919,0.001742825,-0.001861427,0.004484305,0.003236246,-0.002604167,0,0.005179814,0.000151014
"1993-04-20",-0.004889798,0.010822511,-0.009389669,0.009561305,-0.004464286,0,-0.007832898,0,0.000883392,-0.000146911
"1993-04-21",-0.000699892,-0.006423983,-0.003696219,0.006655916,0.004484305,0,-0.002631579,0,-0.002647838,0.001412181
"1993-04-22",-0.012639712,0.004310345,-0.003243896,0.00186415,0,0,-0.005277045,0,0.000884956,-0.003329842
"1993-04-23",-0.004267173,0.006437768,-0.000690999,-0.008111408,-0.008928571,0,0,0,0.016504568,0.001860636
"1993-04-24",0,0,0,0,0,0,0,0,0,0
"1993-04-25",0,0,0,0,0,0,0,0,0,0
"1993-04-26",-0.007858532,0.008528785,-0.003005687,-0.002081074,0,-0.003225806,-0.01061008,0,0.012612351,0.002975571
"1993-04-27",0.01080038,-0.00422833,0.016839481,-0.003730247,-0.009009009,-0.003236246,-0.013404826,0,0.006156049,-0.001229021
"1993-04-28",-0.002138476,-0.010615711,0.011453301,-0.014151361,0,0,0,0,-0.004837792,-0.001189787
"1993-04-29",0.004282409,0,0,0.001674691,0.004545455,0.003246753,0,0,0.016871604,0.011471464
"1993-04-30",0.001421383,0,0.032107921,0.006478579,0,-0.003236246,0.002717391,0.071329063,-0.003655793,-0.00193997
"1993-05-01",0,0,0,0,0,0,0,0,0,0
"1993-05-02",0,0,0,0,0,0,0,0,0,0
"1993-05-03",0.006388987,0.004291845,0,-0.009225202,0.009049774,0.003246753,0,0,0,0.002206408
