"","Price"
"2020-12-28",8400
"2020-12-29",8300
"2020-12-30",8250
"2021-01-04",8110
"2021-01-05",8130
"2021-01-06",8080
"2021-01-07",8120
"2021-01-08",8110
"2021-01-11",8020
"2021-01-12",8030
"2021-01-13",8190
"2021-01-14",8300
"2021-01-15",8120
"2021-01-18",8080
"2021-01-19",8070
"2021-01-20",8080
"2021-01-21",8100
"2021-01-22",8180
"2021-01-25",8200
"2021-01-26",8140
"2021-01-27",8290
"2021-01-28",8290
"2021-01-29",8250
"2021-02-01",8290
"2021-02-02",8280
"2021-02-03",8490
"2021-02-04",8550
"2021-02-05",8690
"2021-02-08",8670
"2021-02-09",8720
"2021-02-10",8600
"2021-02-15",8570
"2021-02-16",8820
"2021-02-17",8840
"2021-02-18",8700
"2021-02-19",8600
"2021-02-22",8620
"2021-02-23",8470
"2021-02-24",8280
"2021-02-25",8420
"2021-02-26",8130
"2021-03-02",8100
"2021-03-03",8210
"2021-03-04",8270
"2021-03-05",8270
"2021-03-08",8340
"2021-03-09",8260
"2021-03-10",8360
"2021-03-11",8370
"2021-03-12",8370
"2021-03-15",8390
"2021-03-16",8370
"2021-03-17",8370
"2021-03-18",8360
"2021-03-19",8350
"2021-03-22",8440
"2021-03-23",8460
"2021-03-24",8280
"2021-03-25",8230
"2021-03-26",8230
"2021-03-29",8290
"2021-03-30",8270
"2021-03-31",8270
"2021-04-01",8340
"2021-04-02",8420
"2021-04-05",8440
"2021-04-06",8640
"2021-04-07",9590
"2021-04-08",9040
"2021-04-09",9150
"2021-04-12",9300
"2021-04-13",9140
"2021-04-14",9120
"2021-04-15",8990
"2021-04-16",9300
"2021-04-19",9290
"2021-04-20",9360
"2021-04-21",9240
"2021-04-22",9390
"2021-04-23",9310
"2021-04-26",9400
"2021-04-27",9400
"2021-04-28",9250
"2021-04-29",9410
"2021-04-30",9680
"2021-05-03",9530
"2021-05-04",9230
"2021-05-06",9880
"2021-05-07",9750
"2021-05-10",10450
"2021-05-11",10700
"2021-05-12",10400
"2021-05-13",10550
"2021-05-14",10550
"2021-05-17",10700
"2021-05-18",10900
"2021-05-20",10650
"2021-05-21",10200
"2021-05-24",10250
"2021-05-25",10500
"2021-05-26",10600
"2021-05-27",10450
"2021-05-28",10500
"2021-05-31",10550
"2021-06-01",10700
"2021-06-02",10600
"2021-06-03",10650
"2021-06-04",10450
"2021-06-07",10300
"2021-06-08",10650
"2021-06-09",10500
"2021-06-10",10450
"2021-06-11",10450
"2021-06-14",10350
"2021-06-15",10250
"2021-06-16",10300
"2021-06-17",10300
"2021-06-18",10350
"2021-06-21",9990
"2021-06-22",9910
"2021-06-23",9700
"2021-06-24",9600
"2021-06-25",9950
"2021-06-28",10000
"2021-06-29",10000
"2021-06-30",9980
"2021-07-01",9910
"2021-07-02",9870
"2021-07-05",9850
"2021-07-06",9840
"2021-07-07",9760
"2021-07-08",9590
"2021-07-09",9470
"2021-07-12",9640
"2021-07-13",9900
"2021-07-14",9910
"2021-07-15",10000
"2021-07-16",10100
"2021-07-19",9990
"2021-07-20",10050
"2021-07-21",9990
"2021-07-22",10050
"2021-07-23",10850
"2021-07-26",10450
"2021-07-27",10850
"2021-07-28",10350
"2021-07-29",10600
"2021-07-30",10200
"2021-08-02",10150
"2021-08-03",9570
"2021-08-04",9640
"2021-08-05",9740
"2021-08-06",9680
"2021-08-09",9550
"2021-08-10",9400
