This file was created using the 201904 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19970826   ,-0.13    ,0.48    ,0.16    ,0.02
19970827   ,-0.28    ,0.29   ,-0.10    ,0.02
19970828   ,-0.79    ,0.75    ,0.28    ,0.02
19970829   ,-1.01    ,0.43   ,-0.09    ,0.02
19970901   ,-0.25   ,-0.18   ,-0.02    ,0.02
19970902    ,1.51   ,-1.55   ,-0.35    ,0.02
19970903    ,0.97   ,-0.25    ,0.17    ,0.02
19970904   ,-0.04    ,0.02   ,-0.09    ,0.02
19970905    ,0.38    ,0.34   ,-0.12    ,0.02
19970908    ,0.03    ,0.30    ,0.05    ,0.02
19970909    ,0.39    ,0.24    ,0.08    ,0.02
19970910   ,-0.82    ,0.85    ,0.36    ,0.02
19970911   ,-0.87    ,0.74    ,0.04    ,0.02
19970912    ,0.31   ,-0.12   ,-0.12    ,0.02
19970915    ,0.32    ,0.03    ,0.36    ,0.02
19970916    ,1.09   ,-1.29   ,-0.10    ,0.02
19970917    ,0.06   ,-0.04   ,-0.02    ,0.02
19970918    ,0.33   ,-0.46   ,-0.18    ,0.02
19970919    ,0.19    ,0.01   ,-0.24    ,0.02
19970922    ,0.57   ,-0.59   ,-0.22    ,0.02
19970923   ,-0.21    ,0.32   ,-0.07    ,0.02
19970924    ,0.48   ,-0.03    ,0.15    ,0.02
19970925   ,-0.19    ,0.35    ,0.02    ,0.02
19970926    ,0.20   ,-0.62    ,0.02    ,0.02
19970929    ,0.29   ,-0.39   ,-0.21    ,0.02
19970930    ,0.13    ,0.27    ,0.10    ,0.02
19971001    ,0.38   ,-0.62   ,-0.08    ,0.02
19971002    ,0.02   ,-0.02    ,0.19    ,0.02
19971003    ,0.71   ,-0.23    ,0.14    ,0.02
19971006    ,0.35   ,-0.09   ,-0.15    ,0.02
19971007    ,0.24    ,0.00   ,-0.38    ,0.02
19971008   ,-0.11    ,0.52   ,-0.19    ,0.02
19971009   ,-0.84    ,0.73   ,-0.19    ,0.02
19971010   ,-0.13    ,0.37   ,-0.04    ,0.02
19971013    ,0.05   ,-0.28    ,0.31    ,0.02
19971014   ,-0.02   ,-0.38    ,0.32    ,0.02
19971015   ,-0.28    ,0.03   ,-0.02    ,0.02
19971016   ,-0.15   ,-0.15    ,0.22    ,0.02
19971017   ,-1.41    ,0.13    ,0.09    ,0.02
19971020    ,0.28    ,0.01   ,-0.04    ,0.02
19971021    ,0.77   ,-0.62   ,-0.06    ,0.02
19971022   ,-0.15    ,0.27    ,0.15    ,0.02
19971023   ,-2.24    ,0.53    ,0.56    ,0.02
19971024   ,-0.49    ,0.18    ,0.44    ,0.02
19971027   ,-4.16    ,0.66    ,1.09    ,0.02
19971028    ,0.25   ,-1.23   ,-1.06    ,0.02
19971029    ,2.14    ,0.15    ,0.38    ,0.02
19971030   ,-1.50    ,0.69    ,0.31    ,0.02
19971031    ,0.81   ,-0.07   ,-0.12    ,0.02
19971103    ,1.61   ,-0.62   ,-0.28    ,0.02
19971104    ,0.21   ,-0.06   ,-0.11    ,0.02
19971105    ,0.12   ,-0.08   ,-0.05    ,0.02
19971106   ,-0.56    ,0.09    ,0.05    ,0.02
19971107   ,-1.76    ,0.40    ,0.15    ,0.02
19971110   ,-0.28    ,0.02    ,0.46    ,0.02
19971111   ,-0.01   ,-0.35   ,-0.10    ,0.02
19971112   ,-1.95    ,0.03    ,0.43    ,0.02
19971113    ,0.40   ,-0.69   ,-0.23    ,0.02
19971114    ,0.44   ,-0.20   ,-0.39    ,0.02
19971117    ,2.39   ,-1.36   ,-0.46    ,0.02
19971118   ,-0.19   ,-0.16    ,0.27    ,0.02
19971119   ,-0.59   ,-0.17   ,-0.05    ,0.02
19971120    ,1.27   ,-0.95   ,-0.32    ,0.02
19971121    ,0.92   ,-0.76   ,-0.21    ,0.02
19971124   ,-1.42    ,0.30    ,0.45    ,0.02
19971125   ,-0.94   ,-0.46    ,0.26    ,0.02
19971126    ,0.18   ,-0.54   ,-0.14    ,0.02
19971127    ,0.30   ,-0.48   ,-0.28    ,0.02
19971128    ,0.27    ,0.11   ,-0.07    ,0.02
19971201    ,1.47   ,-1.29    ,0.02    ,0.02
19971202    ,0.01   ,-0.20    ,0.42    ,0.02
19971203    ,0.13   ,-0.14   ,-0.03    ,0.02
19971204   ,-0.13   ,-0.11    ,0.13    ,0.02
19971205    ,0.45   ,-0.47   ,-0.22    ,0.02
19971208    ,0.01    ,0.18    ,0.02    ,0.02
19971209   ,-0.14   ,-0.30    ,0.48    ,0.02
19971210   ,-0.76   ,-0.01    ,0.48    ,0.02
19971211   ,-1.42    ,0.34    ,0.59    ,0.02
19971212   ,-0.54   ,-0.21    ,0.41    ,0.02
19971215    ,0.19   ,-0.95    ,0.36    ,0.02
19971216    ,0.69   ,-0.45   ,-0.52    ,0.02
19971217    ,0.88   ,-0.05    ,0.03    ,0.02
19971218   ,-0.86    ,0.01    ,0.22    ,0.02
19971219   ,-1.60    ,0.72   ,-0.09    ,0.02
19971222   ,-0.16   ,-0.51    ,0.08    ,0.02
19971223   ,-0.38    ,0.59    ,0.28    ,0.02
19971224   ,-0.31    ,0.09    ,0.11    ,0.02
19971225    ,0.25   ,-0.06   ,-0.09    ,0.02
19971226   ,-0.03    ,0.01   ,-0.04    ,0.02
19971229    ,1.33   ,-1.12   ,-0.34    ,0.02
19971230    ,1.34   ,-0.39   ,-0.21    ,0.02
19971231   ,-0.04    ,0.58   ,-0.06    ,0.02
19980101   ,-0.01    ,0.00   ,-0.03    ,0.02
19980102    ,0.20   ,-0.19   ,-0.24    ,0.02
19980105    ,0.01   ,-0.25    ,0.12    ,0.02
19980106   ,-1.06    ,0.01   ,-0.06    ,0.02
19980107    ,0.00   ,-0.07   ,-0.18    ,0.02
19980108   ,-0.82    ,0.32   ,-0.24    ,0.02
19980109   ,-2.12    ,0.66    ,0.29    ,0.02
19980112   ,-0.77   ,-0.59   ,-0.19    ,0.02
19980113    ,1.44   ,-0.14   ,-0.36    ,0.02
19980114    ,0.88   ,-0.23    ,0.14    ,0.02
19980115   ,-0.34    ,0.27   ,-0.04    ,0.02
19980116    ,1.58   ,-0.53   ,-0.17    ,0.02
19980119    ,0.67    ,0.03   ,-0.11    ,0.02
19980120    ,0.96   ,-0.19   ,-0.48    ,0.02
19980121    ,0.12    ,0.44    ,0.14    ,0.02
19980122   ,-0.60    ,0.30    ,0.17    ,0.02
19980123    ,0.37    ,0.46    ,0.15    ,0.02
19980126    ,0.08   ,-0.16    ,0.46    ,0.02
19980127    ,1.05   ,-0.37    ,0.02    ,0.02
19980128    ,0.53    ,0.38   ,-0.25    ,0.02
19980129    ,0.19   ,-0.45   ,-0.34    ,0.02
19980130   ,-0.37   ,-0.05    ,0.06    ,0.02
19980202    ,1.93   ,-1.03   ,-0.61    ,0.02
19980203    ,0.61    ,0.19    ,0.21    ,0.02
19980204    ,0.33    ,0.51   ,-0.02    ,0.02
19980205    ,0.31    ,0.45    ,0.34    ,0.02
19980206    ,0.21   ,-0.10    ,0.15    ,0.02
19980209    ,0.00    ,0.38    ,0.25    ,0.02
19980210    ,0.69    ,0.22    ,0.20    ,0.02
19980211    ,0.08   ,-0.11    ,0.18    ,0.02
19980212   ,-0.04    ,0.19    ,0.04    ,0.02
19980213   ,-0.47    ,0.25   ,-0.22    ,0.02
19980216   ,-0.11   ,-0.33   ,-0.06    ,0.02
19980217    ,0.33   ,-0.54    ,0.32    ,0.02
19980218    ,0.49   ,-0.25   ,-0.05    ,0.02
19980219   ,-0.04    ,0.33   ,-0.11    ,0.02
19980220    ,0.04   ,-0.33   ,-0.10    ,0.02
19980223    ,0.47    ,0.02   ,-0.16    ,0.02
19980224   ,-0.63    ,0.37    ,0.55    ,0.02
19980225    ,0.82   ,-0.62   ,-0.28    ,0.02
19980226    ,0.84    ,0.11   ,-0.10    ,0.02
19980227    ,0.43    ,0.27    ,0.03    ,0.02
19980302    ,0.61    ,0.04    ,0.38    ,0.02
19980303    ,0.10   ,-0.09    ,0.40    ,0.02
19980304   ,-0.68    ,0.45    ,0.04    ,0.02
19980305   ,-1.33    ,0.03    ,0.42    ,0.02
19980306    ,1.64   ,-0.58   ,-0.34    ,0.02
19980309    ,0.07   ,-0.06    ,0.35    ,0.02
19980310    ,0.68   ,-0.17   ,-0.06    ,0.02
19980311    ,0.12    ,0.06    ,0.14    ,0.02
19980312    ,0.05    ,0.24   ,-0.09    ,0.02
19980313    ,0.74    ,0.20    ,0.05    ,0.02
19980316    ,0.30   ,-0.25    ,0.15    ,0.02
19980317    ,0.37   ,-0.34    ,0.28    ,0.02
19980318   ,-0.18   ,-0.14    ,0.02    ,0.02
19980319    ,0.34   ,-0.19    ,0.13    ,0.02
19980320    ,0.64   ,-0.36    ,0.31    ,0.02
19980323    ,0.03    ,0.26   ,-0.04    ,0.02
19980324    ,0.53   ,-0.44    ,0.21    ,0.02
19980325    ,0.28    ,0.12    ,0.19    ,0.02
19980326    ,0.14    ,0.30   ,-0.15    ,0.02
19980327   ,-0.27    ,0.24    ,0.16    ,0.02
19980330   ,-0.86    ,0.31   ,-0.26    ,0.02
19980331    ,0.45   ,-0.36   ,-0.08    ,0.02
19980401    ,0.27   ,-0.32   ,-0.28    ,0.02
19980402    ,0.22   ,-0.59   ,-0.04    ,0.02
19980403    ,0.16   ,-0.04    ,0.11    ,0.02
19980406    ,0.51   ,-0.45    ,0.75    ,0.02
19980407   ,-0.57    ,0.07    ,0.26    ,0.02
19980408    ,0.26    ,0.48   ,-0.28    ,0.02
19980409    ,0.50   ,-0.03   ,-0.06    ,0.02
19980410    ,0.26    ,0.03    ,0.07    ,0.02
19980413   ,-0.22   ,-0.07    ,0.48    ,0.02
19980414    ,0.89    ,0.07    ,0.27    ,0.02
19980415    ,0.15    ,0.19    ,0.07    ,0.02
19980416   ,-1.04    ,0.65   ,-0.04    ,0.02
19980417    ,0.31   ,-0.37   ,-0.03    ,0.02
19980420    ,0.37    ,0.15   ,-0.25    ,0.02
19980421    ,0.34    ,0.35   ,-0.18    ,0.02
19980422   ,-0.05   ,-0.01   ,-0.05    ,0.02
19980423   ,-0.82    ,0.16   ,-0.11    ,0.02
19980424   ,-0.74    ,0.32   ,-0.15    ,0.02
19980427   ,-2.28    ,0.45   ,-0.36    ,0.02
19980428    ,0.33   ,-0.07    ,0.00    ,0.02
19980429    ,0.36    ,0.21   ,-0.22    ,0.02
19980430    ,1.55   ,-0.79   ,-0.17    ,0.02
19980501    ,0.64   ,-0.42    ,0.28    ,0.02
19980504    ,0.59   ,-0.15    ,0.19    ,0.02
19980505   ,-0.38    ,0.26    ,0.05    ,0.02
19980506   ,-0.67    ,0.33    ,0.20    ,0.02
19980507   ,-1.00    ,0.36    ,0.31    ,0.02
19980508    ,0.70   ,-0.32   ,-0.36    ,0.02
19980511    ,0.38   ,-0.54    ,0.24    ,0.02
19980512   ,-0.04   ,-0.13   ,-0.21    ,0.02
19980513    ,0.10   ,-0.05   ,-0.05    ,0.02
19980514   ,-0.16   ,-0.01    ,0.00    ,0.02
19980515   ,-0.59    ,0.13    ,0.35    ,0.02
19980518   ,-0.75    ,0.01   ,-0.01    ,0.02
19980519    ,0.62   ,-0.28   ,-0.07    ,0.02
19980520    ,0.77   ,-0.53    ,0.26    ,0.02
19980521    ,0.25    ,0.09    ,0.40    ,0.02
19980522   ,-0.27   ,-0.07    ,0.20    ,0.02
19980525    ,0.10   ,-0.10    ,0.10    ,0.02
19980526   ,-0.79   ,-0.19    ,0.28    ,0.02
19980527   ,-1.12   ,-0.14   ,-0.48    ,0.02
19980528    ,0.20    ,0.23    ,0.08    ,0.02
19980529   ,-0.20    ,0.43    ,0.23    ,0.02
19980601   ,-0.47   ,-0.45    ,0.53    ,0.02
19980602    ,0.39   ,-0.52    ,0.10    ,0.02
19980603   ,-0.15    ,0.15    ,0.32    ,0.02
19980604    ,0.34   ,-0.29   ,-0.36    ,0.02
19980605    ,0.91   ,-0.88   ,-0.35    ,0.02
19980608    ,0.23   ,-0.17   ,-0.05    ,0.02
19980609    ,0.06   ,-0.02   ,-0.51    ,0.02
19980610   ,-0.90   ,-0.30    ,0.36    ,0.02
19980611   ,-1.84    ,0.39    ,0.24    ,0.02
19980612   ,-0.40   ,-0.10   ,-0.26    ,0.02
19980615   ,-1.92    ,0.17    ,0.16    ,0.02
19980616    ,0.94   ,-0.22   ,-0.33    ,0.02
19980617    ,2.31   ,-0.52   ,-0.18    ,0.02
19980618   ,-0.05   ,-0.06   ,-0.35    ,0.02
19980619   ,-0.36    ,0.31    ,0.16    ,0.02
19980622   ,-0.19    ,0.02   ,-0.26    ,0.02
19980623    ,0.63   ,-0.65   ,-0.45    ,0.02
19980624    ,0.67   ,-0.48   ,-0.40    ,0.02
19980625    ,0.30   ,-0.22    ,0.15    ,0.02
19980626   ,-0.01   ,-0.24   ,-0.22    ,0.02
19980629    ,0.57   ,-0.23   ,-0.09    ,0.02
19980630    ,0.26    ,0.53    ,0.09    ,0.02
19980701    ,1.23   ,-0.75    ,0.40    ,0.02
19980702   ,-0.15   ,-0.06    ,0.11    ,0.02
19980703    ,0.22   ,-0.08    ,0.03    ,0.02
19980706    ,0.41   ,-0.27    ,0.02    ,0.02
19980707    ,0.15   ,-0.12    ,0.27    ,0.02
19980708    ,0.55   ,-0.65   ,-0.38    ,0.02
19980709   ,-0.72    ,0.30   ,-0.20    ,0.02
19980710   ,-0.07   ,-0.30   ,-0.22    ,0.02
19980713    ,0.50   ,-0.27   ,-0.12    ,0.02
19980714    ,0.91   ,-0.67    ,0.07    ,0.02
19980715    ,0.25    ,0.19   ,-0.20    ,0.02
19980716    ,0.57    ,0.00   ,-0.43    ,0.02
19980717    ,0.52   ,-0.28   ,-0.13    ,0.02
19980720    ,0.10    ,0.04   ,-0.31    ,0.02
19980721   ,-1.18    ,0.42    ,0.01    ,0.02
19980722   ,-0.91   ,-0.03   ,-0.20    ,0.02
19980723   ,-1.28    ,0.17    ,0.18    ,0.02
19980724   ,-0.22   ,-0.15   ,-0.18    ,0.02
19980727   ,-0.77   ,-0.47   ,-0.27    ,0.02
19980728   ,-0.47    ,0.23    ,0.33    ,0.02
19980729   ,-0.55   ,-0.10    ,0.09    ,0.02
19980730    ,0.83   ,-0.89   ,-0.37    ,0.02
19980731   ,-1.10    ,0.28    ,0.29    ,0.02
19980803   ,-1.26   ,-0.14    ,0.18    ,0.02
19980804   ,-1.75    ,0.70    ,0.46    ,0.02
19980805   ,-0.47   ,-0.60    ,0.14    ,0.02
19980806   ,-0.03    ,0.56   ,-0.60    ,0.02
19980807    ,0.37    ,0.26   ,-0.45    ,0.02
19980810   ,-0.98    ,0.35   ,-0.37    ,0.02
19980811   ,-2.25   ,-0.08   ,-0.17    ,0.02
19980812    ,1.14   ,-0.57    ,0.06    ,0.02
19980813   ,-0.71    ,0.01    ,0.37    ,0.02
19980814   ,-0.59    ,0.08    ,0.10    ,0.02
19980817    ,0.66   ,-1.16   ,-0.53    ,0.02
19980818    ,1.85   ,-0.97   ,-0.25    ,0.02
19980819    ,0.28   ,-0.15    ,0.01    ,0.02
19980820   ,-0.60    ,0.30   ,-0.14    ,0.02
19980821   ,-1.89    ,0.63   ,-0.22    ,0.02
19980824    ,0.07   ,-0.87   ,-0.25    ,0.02
19980825    ,0.68   ,-1.18   ,-0.03    ,0.02
19980826   ,-1.60   ,-0.27   ,-0.40    ,0.02
19980827   ,-3.34    ,0.80    ,0.07    ,0.02
19980828   ,-1.00   ,-0.41    ,0.27    ,0.02
19980831   ,-3.43    ,1.21    ,1.77    ,0.02
19980901    ,1.32   ,-0.99   ,-0.47    ,0.02
19980902    ,0.85    ,0.20    ,0.02    ,0.02
19980903   ,-0.65    ,0.42   ,-0.21    ,0.02
19980904   ,-0.31    ,0.45   ,-0.32    ,0.02
19980907    ,1.28   ,-0.27    ,0.43    ,0.02
19980908    ,2.85   ,-1.24   ,-0.77    ,0.02
19980909   ,-1.57    ,0.31   ,-0.23    ,0.02
19980910   ,-1.92    ,1.30    ,0.28    ,0.02
19980911    ,0.84   ,-0.46   ,-0.69    ,0.02
19980914    ,1.92   ,-1.27    ,0.04    ,0.02
19980915    ,0.08   ,-0.43    ,0.10    ,0.02
19980916    ,0.71   ,-0.44    ,0.03    ,0.02
19980917   ,-2.47    ,1.59    ,0.17    ,0.02
19980918   ,-0.35    ,0.64   ,-0.16    ,0.02
19980921   ,-1.31   ,-0.08   ,-0.43    ,0.02
19980922    ,1.01   ,-0.40   ,-0.23    ,0.02
19980923    ,2.51   ,-1.65   ,-0.46    ,0.02
19980924   ,-0.87    ,1.12    ,0.06    ,0.02
19980925   ,-0.79   ,-0.06   ,-0.34    ,0.02
19980928    ,0.84   ,-0.60    ,0.15    ,0.02
19980929   ,-0.09   ,-0.16   ,-0.19    ,0.02
19980930   ,-2.42    ,1.65   ,-0.11    ,0.02
19981001   ,-3.10    ,0.63    ,0.76    ,0.01
19981002   ,-0.23   ,-0.80    ,0.72    ,0.01
19981005   ,-1.67   ,-0.58    ,0.83    ,0.01
19981006    ,1.32   ,-1.44    ,0.65    ,0.01
19981007    ,0.63    ,0.48    ,1.27    ,0.01
19981008   ,-2.42   ,-0.14    ,0.22    ,0.01
19981009    ,1.99   ,-0.92    ,0.06    ,0.01
19981012    ,2.47   ,-1.02   ,-0.67    ,0.01
19981013   ,-0.28   ,-0.67    ,0.10    ,0.01
19981014    ,0.99   ,-0.51   ,-0.38    ,0.01
19981015    ,3.01   ,-0.82   ,-0.62    ,0.01
19981016    ,1.59    ,0.28   ,-0.32    ,0.01
19981019    ,0.34    ,1.04   ,-0.12    ,0.01
19981020    ,0.97   ,-0.22    ,0.30    ,0.01
19981021   ,-0.04    ,0.62   ,-0.29    ,0.01
19981022    ,0.49    ,0.59   ,-0.56    ,0.01
19981023   ,-0.43    ,0.58   ,-0.50    ,0.01
19981026   ,-0.33    ,0.38   ,-0.28    ,0.01
19981027    ,0.77   ,-0.06   ,-0.08    ,0.01
19981028   ,-0.53    ,0.52   ,-0.01    ,0.01
19981029    ,1.20   ,-0.46   ,-0.30    ,0.01
19981030    ,1.31   ,-0.41    ,0.34    ,0.01
19981102    ,1.79    ,0.04   ,-0.08    ,0.01
19981103   ,-0.26    ,0.43   ,-0.01    ,0.01
19981104    ,1.29   ,-0.44    ,0.32    ,0.01
19981105    ,0.05    ,0.30   ,-0.46    ,0.01
19981106    ,0.11    ,0.16   ,-0.56    ,0.01
19981109   ,-1.21    ,0.44   ,-0.59    ,0.01
19981110   ,-0.48    ,0.07   ,-0.46    ,0.01
19981111    ,0.27   ,-0.03    ,0.40    ,0.01
19981112   ,-0.61    ,0.10   ,-0.05    ,0.01
19981113    ,0.32   ,-0.67    ,0.27    ,0.01
19981116    ,1.44   ,-0.48    ,0.13    ,0.01
19981117   ,-0.02   ,-0.30   ,-0.07    ,0.01
19981118    ,0.10    ,0.13   ,-0.20    ,0.01
19981119    ,0.83   ,-0.28   ,-0.03    ,0.01
19981120    ,1.12   ,-0.78    ,0.02    ,0.01
19981123    ,1.38   ,-1.28   ,-0.32    ,0.01
19981124   ,-0.16    ,0.48    ,0.24    ,0.01
19981125   ,-0.01    ,0.39   ,-0.04    ,0.01
19981126    ,0.57   ,-0.40    ,0.31    ,0.01
19981127    ,0.13    ,0.34   ,-0.46    ,0.01
19981130   ,-1.67    ,1.34    ,0.38    ,0.01
19981201   ,-0.44    ,0.18   ,-0.36    ,0.02
19981202    ,0.13    ,0.36    ,0.15    ,0.02
19981203   ,-0.56    ,0.07    ,0.25    ,0.02
19981204    ,0.84   ,-0.87   ,-0.47    ,0.02
19981207    ,0.36   ,-0.22   ,-0.45    ,0.02
19981208    ,0.19    ,0.10   ,-0.20    ,0.02
19981209    ,0.32   ,-0.15   ,-0.25    ,0.02
19981210   ,-0.60    ,0.55    ,0.55    ,0.02
19981211   ,-0.53    ,0.22   ,-0.32    ,0.02
19981214   ,-1.36    ,0.09    ,0.63    ,0.02
19981215    ,0.60   ,-0.97   ,-0.84    ,0.02
19981216    ,0.10   ,-0.21   ,-0.02    ,0.02
19981217    ,1.22   ,-0.95   ,-0.15    ,0.02
19981218    ,0.60    ,0.32   ,-0.40    ,0.02
19981221    ,1.24   ,-0.97   ,-0.62    ,0.02
19981222   ,-0.25    ,0.01   ,-0.57    ,0.02
19981223    ,1.50   ,-0.81   ,-0.44    ,0.02
19981224   ,-0.28    ,0.15    ,0.01    ,0.02
19981225    ,0.09    ,0.04    ,0.12    ,0.02
19981228    ,0.30    ,0.06   ,-0.16    ,0.02
19981229    ,0.86   ,-0.24   ,-0.31    ,0.02
19981230   ,-0.49    ,0.89    ,0.40    ,0.02
19981231    ,0.45    ,0.98    ,0.08    ,0.02
19990101   ,-0.07    ,0.01   ,-0.01    ,0.02
19990104    ,1.06   ,-0.42    ,0.14    ,0.02
19990105    ,0.67   ,-0.71   ,-0.16    ,0.02
19990106    ,1.51   ,-0.92   ,-0.15    ,0.02
19990107    ,0.08    ,0.63   ,-0.01    ,0.02
19990108   ,-0.02    ,0.19    ,0.08    ,0.02
19990111   ,-0.72    ,1.28    ,0.02    ,0.02
19990112   ,-1.57    ,0.50   ,-0.23    ,0.02
19990113   ,-1.26    ,0.37   ,-0.19    ,0.02
19990114   ,-0.69    ,0.72   ,-0.08    ,0.02
19990115    ,1.31   ,-1.02   ,-0.43    ,0.02
19990118    ,0.89   ,-0.38   ,-0.12    ,0.02
19990119    ,0.27    ,0.36   ,-0.63    ,0.02
19990120    ,0.52   ,-0.12   ,-0.46    ,0.02
19990121   ,-1.18    ,0.57    ,0.38    ,0.02
19990122   ,-1.32    ,0.78   ,-0.16    ,0.02
19990125    ,0.36   ,-0.52   ,-0.07    ,0.02
19990126    ,0.97   ,-0.12   ,-0.71    ,0.02
19990127   ,-0.65   ,-0.05   ,-0.56    ,0.02
19990128    ,0.95   ,-1.05   ,-0.40    ,0.02
19990129    ,0.75   ,-0.24   ,-0.19    ,0.02
19990201    ,0.23   ,-0.02    ,0.10    ,0.02
19990202   ,-0.35    ,0.60    ,0.17    ,0.02
19990203   ,-0.14    ,0.07   ,-0.58    ,0.02
19990204   ,-0.79    ,0.69    ,0.51    ,0.02
19990205   ,-1.03   ,-0.12    ,0.56    ,0.02
19990208    ,0.00   ,-0.22   ,-0.02    ,0.02
19990209   ,-1.76    ,0.75    ,0.73    ,0.02
19990210   ,-0.16   ,-0.49   ,-0.14    ,0.02
19990211    ,1.44   ,-0.77   ,-0.81    ,0.02
19990212   ,-0.44    ,0.16    ,0.36    ,0.02
19990215   ,-0.18   ,-0.14   ,-0.02    ,0.02
19990216    ,0.21   ,-0.94   ,-0.22    ,0.02
19990217   ,-1.00    ,0.17    ,0.44    ,0.02
19990218    ,0.31   ,-0.70    ,0.12    ,0.02
19990219   ,-0.23   ,-0.07   ,-0.53    ,0.02
19990222    ,1.70   ,-1.06   ,-0.55    ,0.02
19990223    ,0.40   ,-0.07   ,-0.40    ,0.02
19990224   ,-0.54    ,0.27   ,-0.18    ,0.02
19990225   ,-0.55    ,0.58    ,0.38    ,0.02
19990226   ,-0.39    ,0.37    ,0.36    ,0.02
19990301   ,-0.78    ,0.59    ,0.00    ,0.02
19990302   ,-0.40    ,0.06    ,0.29    ,0.02
19990303   ,-0.43   ,-0.22    ,0.08    ,0.02
19990304    ,0.71   ,-0.99   ,-0.14    ,0.02
19990305    ,2.13   ,-1.01   ,-0.08    ,0.02
19990308    ,0.55    ,0.13   ,-0.48    ,0.02
19990309    ,0.20   ,-0.05   ,-0.06    ,0.02
19990310    ,0.78   ,-0.10    ,0.55    ,0.02
19990311    ,1.05   ,-0.67    ,0.19    ,0.02
19990312   ,-0.25    ,0.05    ,0.42    ,0.02
19990315    ,0.58   ,-0.16   ,-0.15    ,0.02
19990316    ,0.46    ,0.17    ,0.00    ,0.02
19990317   ,-0.33    ,0.20    ,0.46    ,0.02
19990318    ,0.26   ,-0.51   ,-0.10    ,0.02
19990319   ,-0.12    ,0.16    ,0.60    ,0.02
19990322   ,-0.38   ,-0.02    ,0.14    ,0.02
19990323   ,-1.87    ,0.93    ,0.59    ,0.02
19990324   ,-0.42   ,-0.06   ,-0.28    ,0.02
19990325    ,1.48   ,-0.27   ,-0.44    ,0.02
19990326   ,-0.46    ,0.51   ,-0.49    ,0.02
19990329    ,1.22   ,-0.51   ,-1.12    ,0.02
19990330   ,-0.38    ,0.44   ,-0.31    ,0.02
19990331   ,-0.06    ,0.33    ,0.53    ,0.02
19990401    ,0.45   ,-0.38   ,-0.17    ,0.02
19990402    ,0.06    ,0.29    ,0.05    ,0.02
19990405    ,0.74   ,-0.50   ,-0.41    ,0.02
19990406    ,0.65   ,-0.37    ,0.29    ,0.02
19990407    ,0.35   ,-0.53    ,0.10    ,0.02
19990408    ,0.88   ,-0.20   ,-0.17    ,0.02
19990409    ,0.54    ,0.54    ,0.02    ,0.02
19990412    ,0.19    ,0.26   ,-0.12    ,0.02
19990413    ,0.19    ,0.90   ,-0.14    ,0.02
19990414   ,-0.53    ,0.58    ,1.40    ,0.02
19990415   ,-0.53    ,0.34    ,0.96    ,0.02
19990416    ,0.07    ,0.83    ,0.85    ,0.02
19990419   ,-0.98   ,-0.22    ,2.34    ,0.02
19990420   ,-0.31   ,-0.18   ,-0.74    ,0.02
19990421    ,1.09   ,-0.26   ,-1.45    ,0.02
19990422    ,1.28   ,-0.45   ,-0.69    ,0.02
19990423    ,0.14    ,0.47    ,0.09    ,0.02
19990426    ,0.45    ,0.20   ,-0.65    ,0.02
19990427    ,0.64   ,-0.42    ,0.35    ,0.02
19990428   ,-0.45    ,0.40    ,1.11    ,0.02
19990429   ,-0.44    ,0.49    ,0.46    ,0.02
19990430   ,-0.25    ,0.58    ,0.06    ,0.02
19990503    ,0.73   ,-0.51    ,0.38    ,0.02
19990504   ,-0.57    ,0.68    ,0.50    ,0.02
19990505    ,0.45   ,-0.04    ,0.18    ,0.02
19990506   ,-0.19    ,0.76    ,0.76    ,0.02
19990507    ,0.03   ,-0.20   ,-0.15    ,0.02
19990510    ,0.10    ,0.52    ,0.04    ,0.02
19990511    ,0.34   ,-0.07   ,-0.69    ,0.02
19990512    ,0.10    ,0.19   ,-0.27    ,0.02
19990513    ,0.23   ,-0.33    ,0.15    ,0.02
19990514   ,-1.74    ,1.13    ,0.17    ,0.02
19990517   ,-0.74    ,0.02   ,-0.73    ,0.02
19990518    ,0.13    ,0.10    ,0.01    ,0.02
19990519    ,0.32   ,-0.58   ,-0.26    ,0.02
19990520   ,-0.01    ,0.31   ,-0.07    ,0.02
19990521   ,-0.34    ,0.48    ,0.28    ,0.02
19990524   ,-0.86    ,0.51    ,0.69    ,0.02
19990525   ,-1.21    ,0.40    ,0.42    ,0.02
19990526    ,0.16   ,-0.79   ,-0.26    ,0.02
19990527   ,-0.81    ,1.13    ,0.21    ,0.02
19990528    ,0.62   ,-0.67   ,-0.75    ,0.02
19990531    ,0.14   ,-0.08    ,0.06    ,0.02
19990601    ,0.01    ,0.54    ,0.39    ,0.02
19990602    ,0.00   ,-0.24   ,-0.07    ,0.02
19990603    ,0.31   ,-0.28   ,-0.10    ,0.02
19990604    ,1.23   ,-0.40   ,-0.94    ,0.02
19990607    ,0.73    ,0.05    ,0.25    ,0.02
19990608   ,-0.03    ,0.53    ,0.36    ,0.02
19990609    ,0.19    ,0.33   ,-0.16    ,0.02
19990610   ,-0.56    ,0.78    ,0.76    ,0.02
19990611    ,0.22   ,-0.01    ,0.48    ,0.02
19990614   ,-0.83   ,-0.29    ,0.54    ,0.02
19990615    ,0.29   ,-0.45    ,0.16    ,0.02
19990616    ,1.06   ,-0.51   ,-0.83    ,0.02
19990617    ,0.87    ,0.04   ,-0.12    ,0.02
