"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2065","038950","파인디지털",5880,-120,-2,755,7.79,8808,0.67,100,1.7
"2066","106240","파인테크닉스",10100,-350,-3.35,126,80.16,1406,7.18,0,0
"2067","131760","파인텍",1640,-10,-0.61,NA,NA,772,2.12,0,0
"2068","065690","파커스",2890,25,0.87,NA,NA,5288,0.55,150,5.19
"2069","140860","파크시스템스",120600,-500,-0.41,1498,80.51,7960,15.15,180,0.15
"2070","091700","파트론",10100,0,0,431,23.43,6486,1.56,250,2.48
"2071","032800","판타지오",110,-2,-1.79,NA,NA,55,2,0,0
"2072","318010","팜스빌",11050,-400,-3.49,367,30.11,7019,1.57,100,0.9
"2073","036580","팜스코",6050,-80,-1.31,355,17.04,8074,0.75,100,1.65
"2074","027710","팜스토리",2745,180,7.02,245,11.2,1850,1.48,50,1.82
"2075","004720","팜젠사이언스",12500,0,0,675,18.52,5677,2.2,0,0
"2076","225590","패션플랫폼",2310,180,8.45,42,55,1567,1.47,0,0
"2077","054300","팬스타엔터프라이즈",1030,-75,-6.79,NA,NA,694,1.48,0,0
"2078","068050","팬엔터테인먼트",6550,-740,-10.15,66,99.24,2495,2.63,0,0
"2079","028670","팬오션",5880,-200,-3.29,173,33.99,5250,1.12,50,0.85
"2080","222110","팬젠",8490,-20,-0.24,NA,NA,1474,5.76,0,0
"2081","010820","퍼스텍",2125,-25,-1.16,151,14.07,930,2.28,0,0
"2082","016800","퍼시스",39300,-200,-0.51,3660,10.74,40080,0.98,1000,2.54
"2083","263750","펄어비스",105000,-1200,-1.13,1655,63.44,9739,10.78,0,0
"2084","251970","펌텍코리아",20850,-850,-3.92,1631,12.78,14321,1.46,430,2.06
"2085","001020","페이퍼코리아",1740,5,0.29,7,248.57,748,2.33,0,0
"2086","087010","펩트론",11050,-300,-2.64,NA,NA,3739,2.96,0,0
"2087","090080","평화산업",2085,-10,-0.48,NA,NA,465,4.48,0,0
"2088","010770","평화홀딩스",4990,-5,-0.1,NA,NA,7852,0.64,150,3.01
"2089","119500","포메탈",4145,-35,-0.84,149,27.82,3863,1.07,60,1.45
"2090","022100","포스코 ICT",6780,-10,-0.15,57,118.95,2425,2.8,50,0.74
"2091","058430","포스코강판",58400,600,1.04,1056,55.3,37210,1.57,500,0.86
"2092","009520","포스코엠텍",8400,280,3.45,226,37.17,2315,3.63,80,0.95
"2093","047050","포스코인터내셔널",21100,-350,-1.63,1934,10.91,25598,0.82,700,3.32
"2094","003670","포스코케미칼",145000,500,0.35,455,318.68,15401,9.41,300,0.21
"2095","189690","포시에스",7230,-50,-0.69,640,11.3,6583,1.1,100,1.38
"2096","318020","포인트모바일",18950,-300,-1.56,NA,NA,4046,4.68,0,0
"2097","256630","포인트엔지니어링",3415,-55,-1.59,155,22.03,1362,2.51,40,1.17
