"","code","name","stock"
"27029","00580630","코리아퍼시픽04호선박투자회사","091000"
"27041","00262123","유아이에너지","050050"
"27064","00533696","아시아퍼시픽14호선박투자회사","083610"
"27209","00140362","제이에스전선","005560"
"27220","00533757","아시아퍼시픽13호선박투자회사","083600"
"27221","00533580","아시아퍼시픽10호선박투자회사","083570"
"27222","01041217","현대에이블기업인수목적1호","204760"
"27223","00533793","아시아퍼시픽11호선박투자회사","083580"
"27224","00533836","아시아퍼시픽12호선박투자회사","083590"
"27239","00144766","호반산업","004320"
"27300","00525527","실리콘화일","082930"
"27432","00372989","비엔씨컴퍼니","058370"
"27510","00529523","동북아11호선박투자회사","083360"
"27511","00526474","동북아14호선박투자회사","083390"
"27573","00302801","디아이디","074130"
"27639","00124018","부산방직공업","025270"
"27647","00255071","현대에이치씨엔동작방송","034750"
"27776","00364926","플렉스컴","065270"
"27868","00350491","웹솔루스","160350"
"28005","00435297","맥쿼리인프라","088980"
"28029","00450214","마이스코","088700"
"28207","01022054","솔트웍스","222520"
"28215","00164955","현대페인트","011720"
"28227","00790501","한진해운","117930"
"28237","00272412","글라소울","045050"
"28251","00207542","팬택자산관리","025930"
"28322","00394778","케이엔씨글로벌","068150"
"28388","00446460","아이디에스","078780"
"28410","00188946","훈영","017170"
"28450","00137702","한솔아트원제지","007190"
"28505","00418476","엠제이비","074150"
"28717","00587101","바다로3호선박투자회사","092630"
"28892","00351047","아이팩토리","053810"
"29105","00778040","거북선5호선박투자회사","114130"
"29106","00778059","거북선6호선박투자회사","114140"
"29220","00126229","삼성물산","000830"
"29237","00496003","피엘에이","082390"
"29462","00359030","닉스테크","063840"
"29779","00510914","아시아퍼시픽9호선박투자회사","081940"
"29848","00697329","거북선4호선박투자회사","108890"
"29857","00149664","중앙건설","015110"
"29881","00318839","미래에셋새천년코리아벤처펀드일호","042950"
"29950","00130897","하나은행","002860"
"29982","00183260","에이스하이텍","071930"
"30077","00246347","태창파로스","039850"
"30127","00599230","평산차업집단유한공사","950010"
"30142","00970277","스탠다드펌","179280"
"30173","00122922","벽산건설","002530"
"30176","00116860","NH농협증권","016420"
"30177","00505569","아시아퍼시픽4호선박투자회사","081210"
"30367","00160612","한화화인케미칼","025850"
"30434","00659435","정다운","224090"
"30610","00232317","지오엠씨","033030"
"30719","00130860","에듀패스","031950"
"30731","00113632","아이디에이치","026230"
"30761","00837680","거북선7호선박투자회사","134000"
"30856","00130815","서울상호저축은행","016560"
"30913","00248123","와이즈파워","040670"
"30997","00788807","코크렙제15호기업구조조정부동산투자회사","121550"
"31191","00270432","티브로드한빛방송","043890"
"31221","00648697","거북선3호선박투자회사","102000"
"31224","00165529","동성하이켐","013450"
"31278","00419989","클루넷","067130"
"31453","00637114","코리아퍼시픽07호선박투자회사","099210"
"31491","00361114","씨유전자","056340"
"31575","00125628","삼목강업","158380"
"31655","00265227","에스비엠","037630"
