"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"157","002710","TCC스틸","KOSPI","철강금속",8370,20,0.24,1.96695e+11
"158","002900","TYM","KOSPI","기계",1885,-180,-8.72,282457054035
"159","024070","WISCOM","KOSPI","화학",3895,-70,-1.77,59696476010
"160","037270","YG PLUS","KOSPI","서비스업",7920,-220,-2.7,502360927200
"161","000500","가온전선","KOSPI","전기전자",28100,-200,-0.71,116905750700
"162","000860","강남제비스코","KOSPI","화학",24600,-350,-1.4,1.599e+11
"163","035250","강원랜드","KOSPI","서비스업",26850,-800,-2.89,5744302425000
"164","011420","갤럭시아에스엠","KOSPI","서비스업",2970,-10,-0.34,81822442680
"165","002100","경농","KOSPI","화학",13300,150,1.14,259650247500
"166","009450","경동나비엔","KOSPI","전기전자",68100,600,0.89,992121115200
"167","267290","경동도시가스","KOSPI","전기가스업",23350,-400,-1.68,137657730100
"168","012320","경동인베스트","KOSPI","기타금융",36300,-600,-1.63,85850334900
"169","000050","경방","KOSPI","유통업",13800,-50,-0.36,378330726000
"170","214390","경보제약","KOSPI","의약품",10150,-200,-1.93,242654629000
"171","012610","경인양행","KOSPI","화학",6800,-100,-1.45,282515282000
"172","009140","경인전자","KOSPI","전기전자",27900,-250,-0.89,43825236300
"173","013580","계룡건설","KOSPI","건설업",35050,-300,-0.85,313028290350
"174","012200","계양전기","KOSPI","기계",4460,-95,-2.09,1.45396e+11
"175","012205","계양전기우","KOSPI","기계",7150,-130,-1.79,1.001e+10
"176","002140","고려산업","KOSPI","음식료품",3355,-60,-1.76,83671770875
"177","010130","고려아연","KOSPI","철강금속",512000,0,0,9.66144e+12
"178","002240","고려제강","KOSPI","철강금속",26850,-250,-0.92,6.1755e+11
"179","009290","광동제약","KOSPI","의약품",7750,-110,-1.4,406261595250
"180","017040","광명전기","KOSPI","전기전자",3000,-60,-1.96,130012845000
"181","017900","광전자","KOSPI","전기전자",3100,-25,-0.8,179625665300
"182","037710","광주신세계","KOSPI","유통업",187000,-5000,-2.6,2.992e+11
"183","030610","교보증권","KOSPI","증권",8770,-20,-0.23,567009405920
"184","339770","교촌에프앤비","KOSPI","유통업",18050,0,0,450934847000
"185","007690","국도화학","KOSPI","화학",61900,-3700,-5.64,557757130400
"186","005320","국동","KOSPI","유통업",2530,-95,-3.62,137003388610
"187","001140","국보","KOSPI","운수창고업",2045,-20,-0.97,124879031345
"188","002720","국제약품","KOSPI","의약품",6110,-120,-1.93,117776909900
"189","083420","그린케미칼","KOSPI","화학",10950,250,2.34,2.628e+11
"190","014530","극동유화","KOSPI","화학",4290,-60,-1.38,149589811800
"191","014280","금강공업","KOSPI","철강금속",7950,-130,-1.61,233168388150
"192","014285","금강공업우","KOSPI","철강금속",12950,-250,-1.89,7638881250
"193","008870","금비","KOSPI","비금속광물",69500,-500,-0.71,6.95e+10
"194","001570","금양","KOSPI","화학",5210,-170,-3.16,254279280840
"195","002990","금호건설","KOSPI","건설업",11800,-150,-1.26,432280303200
"196","002995","금호건설우","KOSPI","건설업",31500,-50,-0.16,9206379000
"197","011780","금호석유","KOSPI","화학",168500,-1000,-0.59,5133805933500
"198","011785","금호석유우","KOSPI","화학",106500,-1500,-1.39,322001259000
"199","214330","금호에이치티","KOSPI","운수장비",2600,215,9.01,357787554800
"200","001210","금호전기","KOSPI","전기전자",3510,-200,-5.39,67344379830
"201","073240","금호타이어","KOSPI","화학",5380,-130,-2.36,1545460344060
"202","092440","기신정기","KOSPI","기계",4320,-60,-1.37,1.26144e+11
"203","000270","기아","KOSPI","운수장비",85000,-1000,-1.16,34455884495000
"204","024110","기업은행","KOSPI","은행",11050,-150,-1.34,8224521486350
"205","013700","까뮤이앤씨","KOSPI","건설업",2535,-95,-3.61,114461029800
"206","004540","깨끗한나라","KOSPI","종이목재",4870,175,3.73,181362174910
"207","004545","깨끗한나라우","KOSPI","종이목재",23900,100,0.42,8751224000
"208","001260","남광토건","KOSPI","건설업",14600,-300,-2.01,143501954600
"209","008350","남선알미늄","KOSPI","철강금속",2890,-45,-1.53,318417570100
"210","008355","남선알미우","KOSPI","철강금속",24700,-950,-3.7,7604883000
"211","004270","남성","KOSPI","유통업",3345,-85,-2.48,121129675200
"212","003920","남양유업","KOSPI","음식료품",455000,-500,-0.11,3.276e+11
"213","003925","남양유업우","KOSPI","음식료품",224000,2000,0.9,37332288000
"214","025860","남해화학","KOSPI","화학",13900,1200,9.45,690535917700
"215","005720","넥센","KOSPI","화학",4995,-65,-1.28,267452165115
"216","005725","넥센우","KOSPI","화학",3635,0,0,13088181000
"217","002350","넥센타이어","KOSPI","화학",7550,-100,-1.31,737392471350
"218","002355","넥센타이어1우B","KOSPI","화학",3345,-10,-0.3,21742500000
